30,valenf07,SOCIO,21/11/2023 22:22:03
30,valenf07,SOCIO,21/11/2023 22:22:13
30,valenf07,SOCIO,21/11/2023 22:22:14
30,valenf07,SOCIO,21/11/2023 22:27:33
30,valenf07,SOCIO,21/11/2023 22:28:00
30,valenf07,SOCIO,21/11/2023 22:28:09
30,valenf07,SOCIO,22/11/2023 00:34:21
30,valenf07,SOCIO,25/11/2023 00:45:21
26,valenf03,EMPLEADO,25/11/2023 00:45:49
26,valenf03,EMPLEADO,25/11/2023 00:46:50
30,valenf07,SOCIO,25/11/2023 00:54:27
26,valenf03,EMPLEADO,25/11/2023 00:58:18
26,valenf03,EMPLEADO,25/11/2023 00:59:42
30,valenf07,SOCIO,25/11/2023 01:00:35
30,valenf07,SOCIO,25/11/2023 23:16:58
30,valenf07,SOCIO,26/11/2023 14:38:31
30,valenf07,SOCIO,26/11/2023 16:00:41
26,valenf03,EMPLEADO,26/11/2023 16:01:51
30,valenf07,SOCIO,26/11/2023 16:08:50
35,mozo01,EMPLEADO,26/11/2023 16:25:14
30,valenf07,SOCIO,26/11/2023 16:36:09
35,mozo01,EMPLEADO,26/11/2023 21:47:38
35,mozo01,EMPLEADO,26/11/2023 21:48:40
35,mozo01,EMPLEADO,26/11/2023 23:46:12
35,bartender01,EMPLEADO,27/11/2023 00:21:57
36,socio01,SOCIO,27/11/2023 00:24:32
40,bartender01,EMPLEADO,27/11/2023 00:31:01
41,cervecero01,EMPLEADO,27/11/2023 00:31:20
36,socio01,SOCIO,27/11/2023 00:34:21
40,bartender01,EMPLEADO,27/11/2023 00:38:21
41,cervecero01,EMPLEADO,27/11/2023 22:05:41
40,bartender01,EMPLEADO,27/11/2023 22:06:17
36,socio01,SOCIO,27/11/2023 23:12:16
